Messidor Image,Painter Match
./Messidor_Classified\Grade_3_Severe\c31.jpg,./painters_by_numbers\28899.jpg
./Messidor_Classified\Grade_3_Severe\c32.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_3_Severe\c33.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c34.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c35.jpg,./painters_by_numbers\24454.jpg
./Messidor_Classified\Grade_3_Severe\c36.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_3_Severe\c37.jpg,./painters_by_numbers\21673.jpg
./Messidor_Classified\Grade_3_Severe\c38.jpg,./painters_by_numbers\20376.jpg
./Messidor_Classified\Grade_3_Severe\c39.jpg,./painters_by_numbers\28899.jpg
./Messidor_Classified\Grade_3_Severe\c4.jpg,./painters_by_numbers\23707.jpg
./Messidor_Classified\Grade_3_Severe\c40.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c41.jpg,./painters_by_numbers\24454.jpg
./Messidor_Classified\Grade_3_Severe\c42.jpg,./painters_by_numbers\24454.jpg
./Messidor_Classified\Grade_3_Severe\c43.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c44.jpg,./painters_by_numbers\27596.jpg
./Messidor_Classified\Grade_3_Severe\c45.jpg,./painters_by_numbers\27596.jpg
./Messidor_Classified\Grade_3_Severe\c46.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c47.jpg,./painters_by_numbers\28899.jpg
./Messidor_Classified\Grade_3_Severe\c48.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c49.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c5.jpg,./painters_by_numbers\23707.jpg
./Messidor_Classified\Grade_3_Severe\c50.jpg,./painters_by_numbers\21673.jpg
./Messidor_Classified\Grade_3_Severe\c51.jpg,./painters_by_numbers\27596.jpg
./Messidor_Classified\Grade_3_Severe\c52.jpg,./painters_by_numbers\26250.jpg
./Messidor_Classified\Grade_3_Severe\c53.jpg,./painters_by_numbers\26250.jpg
./Messidor_Classified\Grade_3_Severe\c54.jpg,./painters_by_numbers\21673.jpg
./Messidor_Classified\Grade_3_Severe\c55.jpg,./painters_by_numbers\21673.jpg
./Messidor_Classified\Grade_3_Severe\c56.jpg,./painters_by_numbers\26016.jpg
./Messidor_Classified\Grade_3_Severe\c57.jpg,./painters_by_numbers\29622.jpg
./Messidor_Classified\Grade_3_Severe\c58.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c59.jpg,./painters_by_numbers\28899.jpg
./Messidor_Classified\Grade_3_Severe\c6.jpg,./painters_by_numbers\23707.jpg
./Messidor_Classified\Grade_3_Severe\c60.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c61.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c62.jpg,./painters_by_numbers\28563.jpg
./Messidor_Classified\Grade_3_Severe\c63.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c64.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c65.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c66.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c67.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c68.jpg,./painters_by_numbers\21673.jpg
./Messidor_Classified\Grade_3_Severe\c69.jpg,./painters_by_numbers\22705.jpg
./Messidor_Classified\Grade_3_Severe\c7.jpg,./painters_by_numbers\21624.jpg
./Messidor_Classified\Grade_3_Severe\c70.jpg,./painters_by_numbers\27596.jpg
./Messidor_Classified\Grade_3_Severe\c71.jpg,./painters_by_numbers\28899.jpg
./Messidor_Classified\Grade_3_Severe\c8.jpg,./painters_by_numbers\23994.jpg
./Messidor_Classified\Grade_3_Severe\c9.jpg,./painters_by_numbers\21624.jpg
